dataset,endpoint,feature,type,N,estimate,ci_95,perm_p,local_q,global_q,auc_flipped,auc_raw,estimate_num,auc_flipped_num,ci_lo,ci_hi,display_estimate,display_auc_magnitude
ds004584,AUC_PD_vs_CN,dev_z_theta_alpha_ratio,auc,123,0.526475455046884,"[0.422687275385732, 0.633470798229201]",0.619519024048798,0.935003249837508,0.880768461576921,--,--,0.526475455046884,,0.422687275385732,0.633470798229201,0.526475455046884,0.526475455046884
ds004584,AUC_PD_vs_CN,dev_z_rel_alpha,auc,123,0.562879205736349,"[0.450952633031904, 0.665750505685838]",0.239538023098845,0.837658117094145,0.64086795660217,--,--,0.562879205736349,,0.450952633031904,0.665750505685838,0.562879205736349,0.562879205736349
ds004584,AUC_PD_vs_CN,dev_z_spectral_slope,auc,123,0.453667953667954,"[0.350940644654088, 0.561462347342850]",0.385980700964952,0.837658117094145,0.771961401929903,--,--,0.453667953667954,,0.350940644654088,0.56146234734285,0.453667953667954,0.546332046332046
ds004584,AUC_PD_vs_CN,composite_deviation,auc,123,0.489244346387203,"[0.386576864334596, 0.587792635658915]",0.83830808459577,0.935003249837508,0.963451827408629,--,--,0.489244346387203,,0.386576864334596,0.587792635658915,0.489244346387203,0.5107556536127971
ds007020,AUC_mortality,dev_z_theta_alpha_ratio,auc,94,0.676767676767677,"[0.533367506744344, 0.813861991168982]",0.0123493825308734,0.061746912654367,0.0699798343416159,0.676767676767677,--,0.676767676767677,0.676767676767677,0.533367506744344,0.813861991168982,0.676767676767677,0.676767676767677
ds007020,AUC_mortality,dev_z_rel_alpha,auc,94,0.365530303030303,"[0.234359506856540, 0.505009524593763]",0.0551472426378681,0.110294485275736,0.208334027743057,0.634469696969697,--,0.365530303030303,0.634469696969697,0.23435950685654,0.505009524593763,0.634469696969697,0.634469696969697
ds007020,AUC_mortality,dev_z_spectral_slope,auc,94,0.487373737373737,"[0.354459143797379, 0.616660338844662]",0.861606919654017,0.910604469776511,0.963451827408629,0.512626262626263,--,0.487373737373737,0.512626262626263,0.354459143797379,0.616660338844662,0.512626262626263,0.512626262626263
ds007020,AUC_mortality,composite_deviation,auc,94,0.611111111111111,"[0.485112283549783, 0.736036950833638]",0.117494125293735,0.195823542156225,0.3994800259987,0.611111111111111,--,0.611111111111111,0.611111111111111,0.485112283549783,0.736036950833638,0.611111111111111,0.611111111111111
ds007020,AUC_mortality,leapd_index_loocv,auc,94,0.722222222222222,"[0.568127705627706, 0.854072765469824]",0.0015999200039998,0.015999200039998,0.0181324267119977,0.722222222222222,--,0.722222222222222,0.722222222222222,0.568127705627706,0.854072765469824,0.722222222222222,0.722222222222222
ds004504,AUC_AD_vs_CN,dev_z_theta_alpha_ratio,auc,65,0.726053639846743,"[0.599984143763214, 0.844446138211382]",0.0021498925053747,0.0114660933619985,0.0182740862956849,0.726053639846743,0.726053639846743,0.726053639846743,0.726053639846743,0.599984143763214,0.844446138211382,0.726053639846743,0.726053639846743
ds004504,AUC_FTD_vs_CN,dev_z_theta_alpha_ratio,auc,52,0.761619190404798,"[0.623683749643036, 0.886123680241327]",0.0010999450027498,0.0087995600219989,0.0181324267119977,0.761619190404798,0.761619190404798,0.761619190404798,0.761619190404798,0.623683749643036,0.886123680241327,0.761619190404798,0.761619190404798
ds004504,AUC_AD_vs_FTD,dev_z_theta_alpha_ratio,auc,59,0.506038647342995,"[0.356255965466492, 0.660719770094770]",0.944302784860757,0.96345182740863,0.963451827408629,0.506038647342995,0.506038647342995,0.506038647342995,0.506038647342995,0.356255965466492,0.66071977009477,0.506038647342995,0.506038647342995
ds004504,AUC_AD_vs_CN,dev_z_rel_alpha,auc,65,0.318007662835249,"[0.190974742891712, 0.449815340909091]",0.0115994200289985,0.0463976801159942,0.0699798343416159,0.681992337164751,0.318007662835249,0.318007662835249,0.681992337164751,0.190974742891712,0.449815340909091,0.681992337164751,0.681992337164751
ds004504,AUC_FTD_vs_CN,dev_z_rel_alpha,auc,52,0.223388305847076,"[0.102857583842304, 0.367132217301487]",0.0004999750012499,0.007999600019999,0.0169991500424965,0.776611694152924,0.223388305847076,0.223388305847076,0.776611694152924,0.102857583842304,0.367132217301487,0.776611694152924,0.776611694152924
ds004504,AUC_AD_vs_FTD,dev_z_rel_alpha,auc,59,0.579710144927536,"[0.427040565501563, 0.726045801045801]",0.311284435778211,0.904318420442614,0.71861073612986,0.579710144927536,0.579710144927536,0.579710144927536,0.579710144927536,0.427040565501563,0.726045801045801,0.579710144927536,0.579710144927536
ds004504,AUC_AD_vs_CN,dev_z_spectral_slope,auc,65,0.503831417624521,"[0.361900703463203, 0.650014204545454]",0.96345182740863,0.96345182740863,0.963451827408629,0.503831417624521,0.503831417624521,0.503831417624521,0.503831417624521,0.361900703463203,0.650014204545454,0.503831417624521,0.503831417624521
ds004504,AUC_FTD_vs_CN,dev_z_spectral_slope,auc,52,0.517241379310345,"[0.354050347222222, 0.692805504049301]",0.838458077096145,0.96345182740863,0.963451827408629,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.354050347222222,0.692805504049301,0.517241379310345,0.517241379310345
ds004504,AUC_AD_vs_FTD,dev_z_spectral_slope,auc,59,0.445652173913044,"[0.299447175631386, 0.600855559615150]",0.492375381230938,0.904318420442614,0.837038148092595,0.554347826086957,0.445652173913044,0.445652173913044,0.554347826086957,0.299447175631386,0.60085555961515,0.554347826086957,0.554347826086957
ds004504,AUC_AD_vs_CN,composite_deviation,auc,65,0.522988505747126,"[0.379291533075967, 0.682178236947271]",0.75951202439878,0.96345182740863,0.963451827408629,0.522988505747126,0.522988505747126,0.522988505747126,0.522988505747126,0.379291533075967,0.682178236947271,0.522988505747126,0.522988505747126
ds004504,AUC_FTD_vs_CN,composite_deviation,auc,52,0.574212893553223,"[0.406858640585421, 0.750000000000000]",0.370581470926454,0.904318420442614,0.771961401929903,0.574212893553223,0.574212893553223,0.574212893553223,0.574212893553223,0.406858640585421,0.75,0.574212893553223,0.574212893553223
ds004504,AUC_AD_vs_FTD,composite_deviation,auc,59,0.456521739130435,"[0.307001400560224, 0.601196946169772]",0.579071046447678,0.904318420442614,0.880768461576921,0.543478260869565,0.456521739130435,0.456521739130435,0.543478260869565,0.307001400560224,0.601196946169772,0.543478260869565,0.543478260869565
